id_loan,loan_identifier
F99Q10488265,1804SCRT08715
F99Q10488279,2003SCRT08303
F99Q10488299,1902SCRT11117
F99Q10488824,1902SLST06182
F99Q10488921,1901SCRT09013
F99Q10488929,1903SCRT10820
F99Q10489748,1801SCRT10095
F99Q10489831,2102SCRT06561
F99Q10489930,1903SCRT10821
F99Q10490851,1901SCRT09014
F99Q10493095,2102SCRT06562
F99Q10493921,1901SCRT09016
F99Q10494062,1902SCRT11118
F99Q10494464,2402SCRT02523
F99Q10496238,2003SCRT08304
F99Q10496794,1704SCRT09357
F99Q10501069,1704SCRT09358
F99Q10503657,2101SLST05145
F99Q10503970,1803SCRT10298
F99Q10504117,1904SCRT09884
F99Q10504190,1904SCRT09885
F99Q10506132,1901SCRT09019
F99Q10507280,2102SLST04182
F99Q10509137,2101SCRT08465
F99Q10509470,2002SCRT08310
F99Q10509972,2003SCRT08305
F99Q10510417,2003SLST03033
F99Q10512259,2101SCRT08466
F99Q10512339,1904SCRT09887
F99Q10512407,1801SCRT10097
F99Q10512621,2101SCRT08467
F99Q10513497,2003SCRT08307
F99Q10513974,1901SCRT09021
F99Q10515106,2401SLST01487
F99Q10515300,1904SCRT09889
F99Q10515343,1901SCRT09022
F99Q10515403,1903SCRT10823
F99Q10515531,1802SLST04108
F99Q10515532,2001SCRT09152
F99Q10515895,2201SLST02062
F99Q10516282,2201SLST02063
F99Q10516759,1802SLST00520
F99Q10517347,1803SCRT10302
F99Q10520958,2102SCRT06567
F99Q10521349,1902SCRT11121
F99Q10522658,2003SCRT08309
F99Q10522846,1804SCRT08722
F99Q10523402,1904SCRT09890
F99Q10523429,2102SCRT06568
F99Q10524662,2102SCRT06570
F99Q10525164,1803SCRT10304
F99Q10525692,1904SCRT09892
F99Q10529739,2003SCRT08311
F99Q10531394,2102SCRT06571
F99Q10531572,1801SLST02432
F99Q10532321,1904SCRT09893
F99Q10533925,1901SCRT09027
F99Q10537239,2202SLST01096
F99Q10538010,1803SCRT10307
F99Q10538348,1804SCRT08723
F99Q10538801,2003SCRT08313
F99Q10539069,2102SCRT06572
F99Q10539677,1904SCRT09894
F99Q10540399,2201SCRT05262
F99Q10541084,2201SLST02064
F99Q10542898,2002SLST08436
F99Q10543865,2102SLST04185
F99Q10544096,2102SCRT06575
F99Q10544653,1804SCRT08724
F99Q10544695,1904SCRT09895
F99Q10544953,2002SLST08437
F99Q10545153,2102SCRT06576
F99Q10545232,2102SCRT06577
F99Q10545579,1901SCRT09028
F99Q10545716,1902SCRT11122
F99Q10545899,1803SCRT10309
F99Q10548176,1904SCRT09898
F99Q10548440,1804SCRT08725
F99Q10550392,2201SLST02065
F99Q10551540,1904SCRT09899
F99Q10551542,1801SCRT10098
F99Q10551728,1901SLST05902
F99Q10552284,1803SCRT10310
F99Q10552754,1801SCRT10099
F99Q10552760,2002SLST08438
F99Q10553511,1903SLST06916
F99Q10554240,1901SLST05903
F99Q10555130,2103SCRT02779
F99Q10555982,2002SCRT08313
F99Q10556422,2102SCRT06578
F99Q10556513,1704SCRT09361
F99Q10557035,1801SCRT10100
F99Q10559082,2102SCRT06579
F99Q10560008,2003SCRT08315
F99Q10560041,1804SCRT08727
F99Q10561541,2003SCRT08316
F99Q10561630,2002SCRT08314
F99Q10561698,2003SLST03037
F99Q10562817,2102SLST04186
F99Q10562822,1901SCRT09030
F99Q10563214,1804SCRT08728
F99Q10564018,1804SCRT08729
F99Q10564237,1902SLST06185
F99Q10566935,1901SCRT09031
F99Q10568328,1904SCRT09904
F99Q10568997,1903SCRT10824
F99Q10569052,1901SLST05904
F99Q10571674,2003SCRT08317
F99Q10573359,2102SCRT06581
F99Q10575179,1904SCRT09906
F99Q10576247,2003SCRT08318
F99Q10576594,1804SCRT08730
F99Q10576622,2402SCRT02526
F99Q10576648,2002SLST08439
F99Q10576998,2402SLST01283
F99Q10577368,1904SCRT09907
F99Q10578592,1902SCRT11125
F99Q10579323,1804SCRT08731
F99Q10579364,2102SCRT06582
F99Q10579947,2103SCRT02780
F99Q10580177,2102SLST04187
F99Q10580452,1904SCRT09908
F99Q10580878,2202SCRT02607
F99Q10581257,2101SLST05151
F99Q10584162,2003SCRT08320
F99Q10584311,1801SCRT10101
F99Q10584527,1804SCRT08734
F99Q10585990,1904SCRT09911
F99Q10586441,1704SCRT09364
F99Q10587867,1901SLST05907
F99Q10588543,1904SCRT09915
F99Q10588826,2002SCRT08316
F99Q10589731,2003SCRT08322
F99Q10589887,1902SCRT11128
F99Q10590158,2002SCRT08317
F99Q10590160,2102SCRT06588
F99Q10591389,1902SLST06187
F99Q10594110,2102SCRT06595
F99Q10594118,2102SCRT06596
F99Q10598960,2002SCRT09888
F99Q10599133,2102SLST05049
F99Q10599248,2102SLST05050
F99Q10599279,2002SCRT09889
F99Q10599374,1803SCRT11586
F99Q10599584,2002SLST10175
F99Q10599656,1902SCRT12830
F99Q10600236,1704SCRT10153
F99Q10600502,2102SCRT08536
F99Q10600821,2002SCRT09893
F99Q10600840,2102SCRT08537
F99Q10601456,2301SCRT02641
F99Q10601483,2301SLST01957
F99Q10601594,2101SCRT10546
F99Q10601839,2001SCRT10494
F99Q10602324,2101SCRT10548
F99Q10602725,2101SCRT10549
F99Q10602801,2101SCRT10550
